Division,Category,GeneSymbol,mouse
Core matrisome,ECM Glycoproteins,ABI3BP,Abi3bp
Core matrisome,ECM Glycoproteins,ADIPOQ,Adipoq
Core matrisome,ECM Glycoproteins,AEBP1,Aebp1
Core matrisome,ECM Glycoproteins,AGRN,Agrn
Core matrisome,ECM Glycoproteins,AMBN,Ambn
Core matrisome,ECM Glycoproteins,AMELX,Amelx
Core matrisome,ECM Glycoproteins,AMELY,Amely
Core matrisome,ECM Glycoproteins,BGLAP,Bglap
Core matrisome,ECM Glycoproteins,BMPER,Bmper
Core matrisome,ECM Glycoproteins,BSPH1,Bsp1
Core matrisome,ECM Glycoproteins,CDCP2,Cdcp2
Core matrisome,ECM Glycoproteins,CILP,Cilp
Core matrisome,ECM Glycoproteins,CILP2,Cilp2
Core matrisome,ECM Glycoproteins,COCH,Coch
Core matrisome,ECM Glycoproteins,COLQ,Colq
Core matrisome,ECM Glycoproteins,COMP,Comp
Core matrisome,ECM Glycoproteins,CRELD1,Creld1
Core matrisome,ECM Glycoproteins,CRELD2,Creld2
Core matrisome,ECM Glycoproteins,CRIM1,Crim1
Core matrisome,ECM Glycoproteins,CRISPLD1,Crispld1
Core matrisome,ECM Glycoproteins,CRISPLD2,Crispld2
Core matrisome,ECM Glycoproteins,CTGF,Ctgf
Core matrisome,ECM Glycoproteins,CTHRC1,Cthrc1
Core matrisome,ECM Glycoproteins,CYR61,Cyr61
Core matrisome,ECM Glycoproteins,DDX26B,Ddx26b
Core matrisome,ECM Glycoproteins,DMBT1,Dmbt1
Core matrisome,ECM Glycoproteins,DMP1,Dmp1
Core matrisome,ECM Glycoproteins,DPT,Dpt
Core matrisome,ECM Glycoproteins,DSPP,Dspp
Core matrisome,ECM Glycoproteins,ECM1,Ecm1
Core matrisome,ECM Glycoproteins,ECM2,Ecm2
Core matrisome,ECM Glycoproteins,EDIL3,Edil3
Core matrisome,ECM Glycoproteins,EFEMP1,Efemp1
Core matrisome,ECM Glycoproteins,EFEMP2,Efemp2
Core matrisome,ECM Glycoproteins,EGFLAM,Egflam
Core matrisome,ECM Glycoproteins,ELN,Eln
Core matrisome,ECM Glycoproteins,ELSPBP1,Elspbp1
Core matrisome,ECM Glycoproteins,EMID1,Emid1
Core matrisome,ECM Glycoproteins,EMILIN1,Emilin1
Core matrisome,ECM Glycoproteins,EMILIN2,Emilin2
Core matrisome,ECM Glycoproteins,EMILIN3,Emilin3
Core matrisome,ECM Glycoproteins,EYS,Eys
Core matrisome,ECM Glycoproteins,FBLN1,Fbln1
Core matrisome,ECM Glycoproteins,FBLN2,Fbln2
Core matrisome,ECM Glycoproteins,FBLN5,Fbln5
Core matrisome,ECM Glycoproteins,FBLN7,Fbln7
Core matrisome,ECM Glycoproteins,FBN1,Fbn1
Core matrisome,ECM Glycoproteins,FBN2,Fbn2
Core matrisome,ECM Glycoproteins,FBN3,Fbn3
Core matrisome,ECM Glycoproteins,FGA,Fga
Core matrisome,ECM Glycoproteins,FGB,Fgb
Core matrisome,ECM Glycoproteins,FGG,Fgg
Core matrisome,ECM Glycoproteins,FGL1,Fgl1
Core matrisome,ECM Glycoproteins,FGL2,Fgl2
Core matrisome,ECM Glycoproteins,FN1,Fn1
Core matrisome,ECM Glycoproteins,FNDC1,Fndc1
Core matrisome,ECM Glycoproteins,FNDC7,Fndc7
Core matrisome,ECM Glycoproteins,FNDC8,Fndc8
Core matrisome,ECM Glycoproteins,FRAS1,Fras1
Core matrisome,ECM Glycoproteins,GAS6,Gas6
Core matrisome,ECM Glycoproteins,GLDN,Gldn
Core matrisome,ECM Glycoproteins,HMCN1,Hmcn1
Core matrisome,ECM Glycoproteins,HMCN2,Hmcn2
Core matrisome,ECM Glycoproteins,IBSP,Ibsp
Core matrisome,ECM Glycoproteins,IGFALS,Igfals
Core matrisome,ECM Glycoproteins,IGFBP1,Igfbp1
Core matrisome,ECM Glycoproteins,IGFBP2,Igfbp2
Core matrisome,ECM Glycoproteins,IGFBP3,Igfbp3
