"","TCGA.B0.5701.01A.11R.1541.07","TCGA.D3.A2JP.06A.11R.A18S.07","TCGA.D3.A3MV.06A.11R.A21D.07","TCGA.D3.A8GB.06A.11R.A37K.07","TCGA.DA.A3F2.06A.11R.A20F.07","TCGA.EB.A5KH.06A.11R.A27Q.07","TCGA.EB.A5SH.06A.11R.A311.07","TCGA.EB.A6QY.01A.12R.A32P.07","TCGA.EE.A2GS.06A.12R.A18S.07","TCGA.EE.A3JI.06A.11R.A21D.07","TCGA.ER.A19M.06A.61R.A239.07","TCGA.FR.A3YN.06A.11R.A239.07","TCGA.FR.A44A.06A.11R.A24X.07","TCGA.FR.A7U8.06A.21R.A352.07","TCGA.FW.A3R5.06A.11R.A239.07","TCGA.FW.A3TV.06A.11R.A239.07","TCGA.GF.A3OT.06A.23R.A239.07","TCGA.GN.A4U3.06A.11R.A32P.07","TCGA.GN.A4U4.06A.11R.A32P.07","TCGA.GN.A4U5.01A.11R.A32P.07","TCGA.GN.A4U9.06A.11R.A32P.07","TCGA.GN.A8LN.01A.11R.A37K.07","TCGA.HR.A2OH.06A.11R.A18U.07","TCGA.QB.AA9O.06A.11R.A39D.07","TCGA.W3.A825.06A.11R.A352.07","TCGA.W3.AA1Q.06A.11R.A38C.07","TCGA.W3.AA1R.06A.11R.A39D.07","TCGA.W3.AA1W.06A.11R.A38C.07","TCGA.WE.AAA0.06A.11R.A38C.07","TCGA.YG.AA3O.06A.11R.A38C.07"
"ENSG00000011465.18",98,5327,2079,18469,28028,742,577,3155,4311,1933,16732,2167,7179,679,9301,3724,13483,1122,1235,5173,2814,908,2271,1390,2324,3489,409,1200,1142,5171
"ENSG00000021355.13",3712,5436,6890,2597,1287,2248,625,5016,2254,5671,5156,4685,9587,4607,2158,4401,3415,2877,7010,7730,1197,3634,6416,2782,2402,2339,4456,5748,4606,1504
"ENSG00000038427.16",29985,3664,42191,6660,13147,7462,408,918,60996,332,10672,1221,3744,932,5687,5163,50188,447,1445,1414,15516,7572,2787,433,43512,1249,489,940,730,5256
"ENSG00000041982.16",576,127468,39532,37632,996,71687,4246,26709,7960,10905,27124,68751,111175,2567,59531,5394,41790,16523,8671,80372,6010,23780,19010,8634,23309,13653,17490,24749,68579,1411
"ENSG00000049323.16",1393,399,1526,1046,788,222,352,1853,2290,47,2832,153,1374,481,877,1544,56734,113,102,1696,1046,3382,454,374,1661,182,251,813,263,1314
"ENSG00000049540.18",873,621,38,7500,1176,759,1215,158,1219,81,115,108,77,31,557,346,54,52,1170,234,431,148,25,77,3105,189,206,48,304,181
"ENSG00000055955.17",29,2,2,17,1,0,2,3,4,11,3,5,2,4,0,3,3,2,0,19,4,7,2,2,11,1,3,9,12,3
"ENSG00000055957.11",281,1,2,287,8,0,3,1,2,4,1,4,7,0,7,3,2,2,0,2,2,0,4,0,3,0,8,7,8,3
"ENSG00000060718.22",30,2532,376,1982,9851,90,1,530,233,1,9336,16056,1479,10011,2723,2262,2537,151,20,99,72,21995,42,285,8950,83,177,7,13639,1842
"ENSG00000074695.6",11502,10635,17038,4990,2573,2219,1825,24425,11562,8755,10756,15533,9956,1897,7261,15315,20178,8969,5342,5698,5885,4835,12667,1788,7348,5399,13055,4757,7986,11517
