"","TCGA-DA-A3F2-06A-11R-A20F-07","TCGA-EE-A2GS-06A-12R-A18S-07","TCGA-EE-A3JI-06A-11R-A21D-07","TCGA-FR-A3YN-06A-11R-A239-07","TCGA-GF-A3OT-06A-23R-A239-07","TCGA-GN-A4U4-06A-11R-A32P-07","TCGA-GN-A4U9-06A-11R-A32P-07","TCGA-GN-A8LK-06A-11R-A37K-07","TCGA-GN-A8LN-01A-11R-A37K-07","TCGA-QB-AA9O-06A-11R-A39D-07","TCGA-WE-A8K5-06A-11R-A37K-07","TCGA-WE-A8ZN-06A-11R-A37K-07","TCGA-WE-AAA0-06A-11R-A38C-07"
"ENSG00000000003.15",207,5482,35,4660,1789,2466,6420,1610,2196,506,2439,834,1222
"ENSG00000000005.6",1,1,2,1,1,5,2,2,0,0,2,21,0
"ENSG00000000419.13",200,1168,2301,2080,1977,1590,4174,733,2401,998,1328,312,1471
"ENSG00000000457.14",111,1023,1314,1552,523,1176,1194,365,741,123,866,119,701
"ENSG00000000460.17",46,1347,643,838,466,619,2197,546,456,80,865,88,595
"ENSG00000000938.13",3281,297,190,205,474,88,450,30,286,275,271,970,315
"ENSG00000000971.16",1181,12339,514,3972,2240,951,4458,80,348,207,2478,582,1732
"ENSG00000001036.14",1643,2899,2169,4916,4668,972,1221,4392,1658,1859,3053,1907,3621
"ENSG00000001084.13",335,1267,919,1408,2075,757,4104,527,1707,283,1163,311,1671
"ENSG00000001167.14",269,4151,4446,2241,2812,1352,6726,1672,2526,1061,2864,427,1779
"ENSG00000001460.18",166,1236,5703,1367,1084,1271,566,1053,712,309,562,466,2394
"ENSG00000001461.17",663,5798,10552,17146,2348,1556,809,1515,4131,2392,1558,686,9136
"ENSG00000001497.18",1203,9225,4773,4203,2032,3310,4855,3078,3865,2260,3346,2149,3542
"ENSG00000001561.7",44,859,54,2064,88,53,723,86,47,32,48,91,973
"ENSG00000001617.12",687,1097,282,243,1938,259,1410,838,283,639,476,947,609
"ENSG00000001626.16",2,10,3,13,5,4,136,5,26,11,12,11,24
"ENSG00000001629.10",240,2838,5187,7190,5101,3007,4817,1303,4013,970,2950,457,2014
"ENSG00000001630.17",7,81,681,391,285,2,38,97,70,11,77,9,127
"ENSG00000001631.16",13,357,584,557,195,292,784,232,445,332,501,59,194
"ENSG00000002016.18",46,641,1522,682,300,943,626,278,795,151,460,180,363
"ENSG00000002079.14",4,1,4,16,126,2,8,1,3,1,15,1,1
"ENSG00000002330.14",408,831,501,312,573,247,338,1074,699,459,445,442,717
"ENSG00000002549.12",1440,12834,12783,11622,7859,5071,3780,2641,4341,1553,8429,1880,10063
"ENSG00000002586.20",24536,27983,14897,30922,7422,17515,8340,25047,10714,4990,26215,13456,19931
"ENSG00000002586.20_PAR_Y",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002587.10",270,465,624,766,333,308,49,586,331,80,88,303,161
"ENSG00000002726.21",91,25,10,23,6,2,10,1,6,6,24,36,41
"ENSG00000002745.13",4,31,8,16,0,5,25,2,22,2,10,1,17
"ENSG00000002746.15",7,64,1,96,7,0,6,0,5,6,3,3,1
"ENSG00000002822.15",154,597,178,1392,656,327,34,2417,124,220,210,655,1256
"ENSG00000002834.18",15775,16798,16122,26822,24212,13562,9899,8776,8171,3394,13442,8295,14356
"ENSG00000002919.15",1099,1573,2610,4054,1334,1236,1165,1436,1004,679,1347,822,2963
"ENSG00000002933.9",7841,507,304,1067,1515,212,559,76,386,718,1222,550,853
"ENSG00000003056.8",2531,6340,9755,8157,5477,7608,3085,4920,5363,1209,3353,809,4596
"ENSG00000003096.14",22,927,17,706,11,4893,2421,53,38,2,122,15,9
"ENSG00000003137.8",353,706,484,48,3724,57,1107,277,476,136,1397,116,126
"ENSG00000003147.19",147,1365,1867,1170,66,970,162,631,1366,391,1023,451,850
"ENSG00000003249.15",61,827,4564,4621,51,2377,444,2337,3067,4148,3956,3062,19996
"ENSG00000003393.15",216,2579,6216,4780,2989,3149,2002,1143,1453,713,1764,354,2642
"ENSG00000003400.15",888,1110,899,926,240,145,169,56,357,344,201,236,746
"ENSG00000003402.20",1894,3853,7582,5247,4976,3549,1999,1098,2997,1358,2829,1063,3277
"ENSG00000003436.16",247,920,454,2200,2203,349,548,156,370,90,219,159,961
"ENSG00000003509.16",66,593,1575,1162,457,863,1090,494,831,554,728,119,1124
"ENSG00000003756.17",668,5789,9270,3575,2073,5494,3496,2102,5202,824,5644,1450,4744
"ENSG00000003987.14",6,45,145,118,86,51,138,35,111,18,80,17,35
"ENSG00000003989.18",239,404,138,131,97,134,105,1551,43,27,129,66,116
"ENSG00000004059.11",3483,4674,3226,4992,3373,2848,7047,8380,4366,4242,12326,6909,5455
"ENSG00000004139.14",209,515,801,1295,288,84,540,109,530,78,465,157,243
"ENSG00000004142.12",3537,10587,9435,12821,8083,7002,5835,6396,5759,4512,7938,4960,6954
"ENSG00000004399.13",14976,11314,2106,19278,16356,23223,4285,1777,8921,2434,13033,4370,4040
"ENSG00000004455.17",1693,11732,20149,19098,7740,13924,7365,18680,5222,3616,8624,5979,19970
"ENSG00000004468.13",1926,582,542,356,501,117,224,8,201,352,208,226,378
